prover_name,prover_endpoint,prover_fee
ZKPool (HTTP),http://taiko-a5-prover-simple.zkpool.io,10
ZKPool (HTTPS),https://taiko-a5-prover.zkpool.io,10
Davaymne,http://l2pool.apus.network:9876,10
Web3Cript,http://ttko.web3cript.xyz:9876,10
Purethereal,http://purethereal.xyz:9876,10
Karma Nodes,http://karmanodes.xyz,10
Cryptic Node,http://taiko.crypticnode.xyz:9876,10
dannyletra,http://158.220.89.198:9876,10
AlexIT,http://62.183.54.219:9876,10
ZK Nodes,http://45.144.28.60:9876,10
RexCloud,http://185.173.38.221:9876,10
RZF Node,http://45.142.214.132:9876,10
Vitek73,http://65.21.14.11:9876,10
FTP Crypto,http://161.97.133.1:9876,10
snowleopard,http://161.97.146.121:9876,10
Elsass Node,http://90.11.209.115:9876,10
flechemano,http://137.184.187.19:9876,100
CherryNodes,http://161.97.160.96:9876,10
Cryptobike,http://161.97.122.170:9876,10
DON KAMOTE,http://184.174.33.54:9876,10
Jayjay,http://65.108.2.41:9876,10
Mahamb Nodes,http://taiko-a5-prover.mahamb.xyz:9876,10
Baka Node,http://38.242.226.172:9876,10
Arthas Node,http://65.108.215.87:9876,10
Karandash33,http://88.198.47.154:9876,10
Eustace,http://158.220.98.12:9876,10
Solodan,http://65.108.89.50:9876,10
Oats,http://164.92.65.55:9876,10
Gojo Node,http://167.86.127.224:9876,13
SandNode,http://161.97.79.184:9876,10
Ohmar Node,http://109.123.244.224:9876,10
StarNode,http://158.220.97.162:9876,10
AlphaNode,http://75.119.135.63:9876,10
itrocket,http://taiko-prover.itrocket.net:9876,10
79anvi,http://213.133.100.172:9876,100
cyberG,http://taikoprover.cyberg.digital:9876/,10
web34ever,http://135.181.138.161:9876,10
DON KAMOTE,http://mikedg-taiko.donkamote.xyz:9876,10
Arthas Node,http://65.108.215.87:9876,10
RV Node,http://195.201.195.153:9876,10
Gavryushev,http://94.41.17.212:9876,10
Nokogirisrv,http://51.81.208.203:9876,10
Mantis Node,http://116.203.82.243:9876,10
Blanker,http://88.198.62.61:9876,8
0xAN,http://51.91.70.90:9876,1
bigfish (cn),http://122.96.253.43:9876,10
rudolfhe55,http://148.251.185.41:9876,10
Koro Node,http://167.86.120.246:9876,10
vansanten,http://188.40.76.110:9876,10
parallacs,http://136.243.69.100:9876/,10
i-korob,http://23.88.1.40:9876,10
Pompon Node,http://207.180.236.151:9876,10
Alphaz Node,http://62.72.16.50:9876,10
Skalabs Node,http://91.121.7.193:9876,10
reromanov,http://188.40.94.92:9876,10
0xsuresh,http://66.94.105.38:9876,10
Egieshakur,http://158.220.100.165,10
pa1amar,http://46.4.11.121:9876,10
Chainbase,https://a5-prover.taiko.chainbase.online,10
lxcong,http://158.220.115.63:9876,10
Kimchi,http://62.171.141.76:9876,10
funoshi,http://135.181.114.159:9876,1
Kou Prover,http://85.31.239.89:9876,10
kalayci,http://node.trustf.io:9876,1
ripjaws_node,http://142.93.212.211:9876,10
Apus Network,http://pool-1.taikopool.xyz,10